timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
470788074,470757800,3,4,1,0,0,0,3,0,3,0,0
471810629,471782762,3,4,1,0,0,0,3,0,3,0,0
472828287,472797908,3,4,1,0,0,0,3,0,3,0,0
473845696,473815481,3,4,1,0,0,0,3,0,3,0,0
474870928,474840623,3,4,1,0,0,0,3,0,3,0,0
475888456,475860688,3,4,1,0,0,0,3,0,3,0,0
476908555,476880789,3,4,1,0,0,0,3,0,3,0,0
477852181,477830891,4,1,1,0,0,0,3,0,3,0,0
478229564,478208438,5,1,3,0,0,0,3,0,3,0,0
479249504,479228548,5,1,3,0,0,0,3,0,3,0,0
480254670,480233647,5,1,3,0,0,0,3,0,3,0,0
481267217,481246253,5,1,3,0,0,0,3,0,3,0,0
482272376,482248871,5,1,3,0,0,0,3,0,3,0,0
483289959,483268991,5,1,3,0,0,0,3,0,3,0,0
484305075,484284083,5,1,3,0,0,0,3,0,3,0,0
485305179,485281745,5,1,3,0,0,0,3,0,3,0,0
486307861,486286808,5,1,3,0,0,0,3,0,3,0,0
487310377,487289414,5,1,3,0,0,0,3,0,3,0,0
488323001,488302025,5,1,3,0,0,0,3,0,3,0,0
489323104,489299661,5,1,3,0,0,0,3,0,3,0,0
490340738,490319760,5,1,3,0,0,0,3,0,3,0,0
491355833,491334864,5,1,3,0,0,0,3,0,3,0,0
492355950,492334986,5,1,3,0,0,0,3,0,3,0,0
493358563,493337596,5,1,3,0,0,0,3,0,3,0,0
494371276,494350220,5,1,3,0,0,0,3,0,3,0,0
495391407,495367842,5,1,3,0,0,0,3,0,3,0,0
496406414,496385455,5,1,3,0,0,0,3,0,3,0,0
497406567,497385570,5,1,3,0,0,0,3,0,3,0,0
498416668,498393186,5,1,3,0,0,0,3,0,3,0,0
499424275,499403304,5,1,3,0,0,0,3,0,3,0,0
500431916,500410932,5,1,3,0,0,0,3,0,3,0,0
501439647,501418559,5,1,3,0,0,0,3,0,3,0,0
502447263,502426166,5,1,3,0,0,0,3,0,3,0,0
503467261,503446290,5,1,3,0,0,0,3,0,3,0,0
504482377,504461449,5,1,3,0,0,0,3,0,3,0,0
505500020,505479033,5,1,3,0,0,0,3,0,3,0,0
506507764,506484164,5,1,3,0,0,0,3,0,3,0,0
507522746,507501807,5,1,3,0,0,0,3,0,3,0,0
508535602,508514407,5,1,3,0,0,0,3,0,3,0,0
509540678,509517083,5,1,3,0,0,0,3,0,3,0,0
510560703,510539674,5,1,3,0,0,0,3,0,3,0,0
