timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
263845623,1693632407400305,366608066,1263420444,59210,76865,0.24100001,0.5654514,0.89500004,1.427,0.62,0.93,96,79,0.284,-0.28100002,-0.039,-0.026,3.5120714,0,nan,0.0,3,0,1,18,0
264248408,1693632407800305,366608062,1263420463,59203,76858,0.192,0.15849526,0.896,1.4280001,0.62,0.93,97,70,1.353,0.277,1.3240001,0.134,1.5207329,0,nan,0.0,3,0,1,18,0
264854612,1693632408400305,366608103,1263420653,59176,76832,0.193,0.043438803,0.896,1.4260001,0.62,0.93,97,70,4.498,1.302,4.3050003,-0.052,1.2915119,0,nan,0.0,3,0,1,18,0
265253636,1693632408800305,366608162,1263420881,59244,76899,0.185,0.030321952,0.89500004,1.4230001,0.62,0.93,97,89,6.262,2.148,5.8820004,-0.19800001,1.2398462,0,nan,0.0,3,0,1,18,0
265837612,1693632409400306,366608315,1263421343,59451,77106,0.19000001,0.018418983,0.892,1.419,0.62,0.93,97,89,8.667001,3.548,7.9080005,0.119,1.1490813,0,nan,0.0,3,0,1,18,0
266248785,1693632409800306,366608466,1263421729,59341,76996,0.192,0.01577062,0.89000005,1.417,0.62,0.93,97,90,10.491,4.7920003,9.332001,0.507,1.0964273,0,nan,0.0,3,0,1,18,0
266851621,1693632410400306,366608769,1263422418,59064,76720,0.21800001,0.014403853,0.88900006,1.4150001,0.62,0.93,97,90,12.952001,6.425,11.246,0.55,1.0517651,0,nan,0.0,3,0,1,18,0
267243614,1693632410800306,366609022,1263422950,58909,76564,0.22500001,0.012872675,0.88900006,1.414,0.62,0.93,97,90,14.476001,7.4100003,12.436001,0.22100002,1.0334454,0,nan,0.0,3,0,1,18,0
267849612,1693632411400306,366609457,1263423838,58826,76481,0.2,0.010168986,0.88900006,1.4130001,0.59,0.93,97,90,16.424002,8.547,14.025001,-0.057000004,1.0234656,0,nan,0.0,3,0,1,19,0
268250613,1693632411800306,366609773,1263424492,58876,76532,0.21000001,0.009562309,0.88900006,1.4120001,0.59,0.93,97,96,17.635,8.941,15.200001,-0.273,1.0390766,0,nan,0.0,3,0,1,19,0
