timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
448174724,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
448680640,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
449186641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
449692845,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
450198641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
450704661,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
451210641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
451716641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
452223409,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
452728641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
453234660,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
453740641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
454246642,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
454752687,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
455258641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
455764994,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
456270641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
456776662,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
457282641,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
457788720,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
458294642,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
458800736,218023836,0,304709692,304709692,305102911,217335029,219069037,3,2,0,0,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
