timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
227260039,227160940,0.0036912395,0.011060048,0.019911954,1114775,0,0.3478392,0.39342716,0.56535363,0.08716478,0.010042886,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
227457593,227358498,0.0043681334,0.006618113,0.013763227,1114775,0,0.3472214,0.39498764,0.5548944,0.07658246,0.004629609,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
227655154,227556057,0.0049139983,0.004331702,0.008011038,1114775,0,0.34664533,0.39405665,0.5458914,0.047288053,0.0058862385,0.014821446,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
227852733,227753615,0.003848209,0.0032642575,0.006257287,1114775,0,0.34608245,0.39313447,0.55127543,0.031221531,0.0077854292,0.00028435214,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
228060401,227961051,0.004258243,0.025632212,0.048812795,1114775,0,0.32960698,0.38852644,0.545236,0.06321638,0.010930789,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
228257860,228158610,0.0048995246,0.027239356,0.048721783,1114775,0,0.3291185,0.3900512,0.5550335,0.112821914,0.010993287,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
228455293,228356167,0.0038778335,0.012719103,0.024300802,1114775,0,0.3453823,0.39350736,0.5681259,0.112821914,0.010993287,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
228652828,228553726,0.0047647264,0.0074729645,0.017951967,1114775,0,0.34459358,0.39502066,0.5802632,0.04736569,0.007579159,0.051066406,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
228860529,228761162,0.0052669425,0.008499987,0.023026645,1114775,0,0.32812953,0.39026895,0.5786182,0.031372957,0.012960432,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
229057815,228958720,0.0043959604,0.00522027,0.018012434,1114775,0,0.34439263,0.39614287,0.5775482,0.031372957,0.012960432,0.009579523,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
