timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
427247360,427122676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
428254895,428121676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
429252567,429121676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
430250211,430121675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
431247873,431120676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
432235680,432109675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
433253088,433126675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
434250732,434122676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
435248442,435120675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
436255923,436122675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
437263462,437129674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
438251265,438121830,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
439249015,439123675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
440247175,440117675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
441254224,441124674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
442252357,442120691,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
443249636,443121694,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
444257551,444127676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
445234975,445109674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
446252930,446121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
447250178,447121673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
448248072,448120675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
449255368,449121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
450253227,450119673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
451250629,451124676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
452258410,452129675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
453246000,453120679,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
454243661,454117696,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
455251154,455120675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
456248807,456115692,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
457246530,457115675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
458244234,458112675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
459251750,459121714,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
460239535,460114774,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
461247094,461121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
462244762,462115681,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
463242465,463116674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
464250027,464120674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
465247680,465119674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
466255263,466121726,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
467252913,467123678,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
468250598,468119697,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
469248341,469122673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
470246010,470114715,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
471233783,471108976,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
472251216,472120674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
