timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
253881956,12478544,3,4259850,4028193,4325386,396321,0.3261049,0.348921,0.111965165,0.13192922,nan,nan,nan,nan,nan,0.0,1.0,0.36894983,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253891964,12478544,3,4259850,4028193,4325386,396321,0.3261049,0.348921,0.111965165,0.13192922,nan,nan,nan,nan,nan,0.0,1.0,0.15481009,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253901921,12478544,3,4259850,4028193,4325386,396321,0.3261049,0.348921,0.111965165,0.13192922,nan,nan,nan,nan,nan,0.0,1.0,-0.05932966,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253911974,12478544,3,4259850,4028193,4325386,396321,0.3261049,0.348921,0.111965165,0.13192922,nan,nan,nan,nan,nan,0.0,1.0,-0.2734694,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253921959,12478544,3,4259850,4028193,4325386,396321,0.3261049,0.348921,0.111965165,0.13192922,nan,nan,nan,nan,nan,0.0,1.0,-0.48760915,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
253931980,253931924,4,4259850,4028193,4325386,396809,0.3261049,0.348921,0.111965165,0.13192922,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
254937040,253931924,4,4259850,4028193,4325386,396809,0.6829141,0.9867774,0.18242761,0.209834,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
255937194,253931924,4,4259850,4028193,4325386,396809,0.6453627,0.90776783,0.13791963,0.13483134,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
256937224,253931924,4,4259850,4028193,4325386,396809,0.37103543,0.45991924,0.11489749,0.124028996,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
257937346,253931924,4,4259850,4028193,4325386,396809,0.32644102,0.40907633,0.10990262,0.13276425,nan,nan,nan,nan,nan,1.0,1.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,2,4,1,1,1,1,0,0,0,0,0,0,0
