timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
321045613,1693632464600322,11010053,366624229,1263415868,21334,38987,0.20600002,0.010892426,0.96800005,1.4410001,0.57,0.87,98,97,15.993001,-14.119,7.5120006,3.3330002,2.6526468,0,nan,0.0,0.0,1092,3,0,1,20
322046625,1693632465600322,11010053,366623031,1263416942,18731,36384,0.22200002,0.011528597,0.975,1.447,0.58,0.87,98,82,16.810001,-13.113001,10.518001,1.559,2.4655945,0,nan,0.0,0.0,1092,3,0,1,19
323045614,1693632466600322,11010053,366621761,1263418048,17467,35120,0.20400001,0.010457663,0.97900003,1.445,0.58,0.87,98,100,17.683,-15.404,8.683001,0.791,2.6283228,0,nan,0.0,0.0,1092,3,0,1,19
324045614,1693632467600323,11010053,366620289,1263418902,17447,35101,0.21100001,0.011368376,0.97800004,1.437,0.57,0.87,98,93,18.135,-16.786001,6.8640003,-0.505,2.7534275,0,nan,0.0,0.0,1092,3,0,1,20
325049619,1693632468600323,11010053,366618787,1263419645,17760,35414,0.202,0.010429215,0.97900003,1.4300001,0.58,0.87,98,96,17.724,-16.469,6.551,-0.156,2.7629864,0,nan,0.0,0.0,1092,3,0,1,19
326044614,1693632469600323,11010053,366617328,1263420357,17933,35587,0.21200001,0.011201523,0.97800004,1.4200001,0.57,0.87,98,82,17.122002,-15.918001,6.307,0.22100002,2.764336,0,nan,0.0,0.0,1092,3,0,1,20
327045611,1693632470600324,11010053,366615908,1263421077,17252,34907,0.20700002,0.010986848,0.97800004,1.414,0.58,0.87,98,110,16.966002,-15.700001,6.432,0.804,2.7527666,0,nan,0.0,0.0,1092,3,0,1,19
328045614,1693632471600324,11010053,366614487,1263421837,16734,34389,0.21000001,0.011291407,0.97700006,1.404,0.57,0.87,98,94,17.306002,-15.842001,6.965,0.68,2.7273624,0,nan,0.0,0.0,1092,4,0,1,20
329045613,1693632472600324,11010053,366613034,1263422626,16595,34250,0.18900001,0.01075978,0.975,1.391,0.57,0.87,98,99,17.813002,-16.296001,7.1910005,-0.388,2.7260249,0,nan,0.0,0.0,1092,4,0,1,20
330039614,1693632473600324,11010053,366611572,1263423429,17176,34831,0.22800002,0.010378948,0.97300005,1.376,0.57,0.87,98,92,17.511002,-16.012001,7.09,-0.39600003,2.7247214,0,nan,0.0,0.0,1092,4,0,1,20
331045613,1693632474600325,11010053,366610151,1263424233,17832,35488,0.21100001,0.011036764,0.9710001,1.366,0.57,0.87,98,89,17.12,-15.561001,7.1380005,-0.55600005,2.7115505,0,nan,0.0,0.0,1092,4,0,1,20
