timestamp,voltage_v,rssi_v,free_memory_bytes,pwm[0],pwm[1],pwm[2],pwm[3],pwm[4],pwm[5],pwm[6],pwm[7],pwm_disarmed[0],pwm_disarmed[1],pwm_disarmed[2],pwm_disarmed[3],pwm_disarmed[4],pwm_disarmed[5],pwm_disarmed[6],pwm_disarmed[7],pwm_failsafe[0],pwm_failsafe[1],pwm_failsafe[2],pwm_failsafe[3],pwm_failsafe[4],pwm_failsafe[5],pwm_failsafe[6],pwm_failsafe[7],pwm_rate_hz[0],pwm_rate_hz[1],pwm_rate_hz[2],pwm_rate_hz[3],pwm_rate_hz[4],pwm_rate_hz[5],pwm_rate_hz[6],pwm_rate_hz[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_arm_sync,status_failsafe,status_fmu_initialized,status_fmu_ok,status_init_ok,status_outputs_armed,status_raw_pwm,status_rc_ok,status_rc_dsm,status_rc_ppm,status_rc_sbus,status_rc_st24,status_rc_sumd,status_safety_off,alarm_pwm_error,alarm_rc_lost,arming_failsafe_custom,arming_fmu_armed,arming_fmu_prearmed,arming_force_failsafe,arming_io_arm_ok,arming_lockdown,arming_termination_failsafe
403653668,5.44,1.7090001,1464,1755,1746,1450,1707,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
404666423,5.44,1.695,1464,1774,1694,1480,1716,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
405681349,5.44,1.6620001,1464,1774,1779,1548,1749,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
406703978,5.418,1.6550001,1464,1669,1728,1373,1700,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
407724000,5.4300003,1.687,1464,1770,1711,1606,1694,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
408731542,5.438,1.692,1464,1731,1761,1646,1760,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
409751772,5.4280005,1.6910001,1464,1799,1699,1731,1690,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
410774309,5.4620004,1.695,1464,1757,1775,1626,1775,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
411784299,5.4430003,1.6660001,1464,1853,1636,1599,1637,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
412811896,5.426,1.6860001,1464,1744,1757,1600,1750,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
