timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
372933154,372908739,396321,0.6519747,-0.24570781,0.8229307,3
373381561,373359963,396321,0.6489048,-0.2020567,0.7663716,3
373829648,373813833,396321,0.660057,-0.16417849,0.79898655,3
374405732,374343219,396321,0.64149076,-0.15370251,0.7525957,3
374896759,374871512,396321,0.619918,-0.14779243,0.8133229,3
375344830,375320989,396321,0.5992477,-0.11690819,0.8871876,3
375899665,375850574,396321,0.5813081,-0.099828236,0.846893,3
376411950,376380426,396321,0.5512588,-0.06157426,0.94676745,3
376860066,376834516,396321,0.51655465,-0.05415833,0.8509846,3
377414898,377364189,396321,0.48975182,-0.014520466,0.91662645,3
377905907,377894054,396321,0.4545744,-0.031852305,0.8282353,3
378375243,378347919,396321,0.42688495,-0.04604967,0.82587373,3
378930323,378877398,396321,0.3766804,-0.017327389,0.9152548,3
379420829,379407145,396321,0.343643,-0.031965315,0.84913045,3
379890564,379861055,396321,0.32530946,-0.0035502187,0.96683216,3
380338833,380314978,396321,0.28771907,-0.032767355,0.8880984,3
380893713,380843413,396321,0.23819971,-0.045990188,0.9248171,3
381384704,381369210,396321,0.17981716,-0.083220914,0.88476133,3
381853923,381823176,396321,0.18160033,-0.11670034,0.8741325,3
382408806,382352774,396321,0.13441832,-0.14518088,0.84692013,3
382899922,382882367,396321,0.105713025,-0.16595098,0.86010146,3
383369164,383336409,396321,0.08327767,-0.19949085,0.81311285,3
383924088,383866845,396321,-0.29509264,-0.02774548,0.39747986,3
384415261,384391706,396321,-0.18794325,0.102440804,0.48035604,3
384863341,384845844,396321,-0.11599235,0.29965308,0.33882773,3
385333206,385300897,396321,-0.17252673,0.40991122,0.058491424,3
385930563,385906186,396321,0.07722393,0.43159598,0.10522434,3
386378719,386356549,396321,0.18245178,0.4340618,0.1817917,3
386827323,386810879,396321,0.38774902,0.35107392,0.4153507,3
387403588,387341261,396321,0.33275113,0.2908287,0.49573952,3
387894558,387871567,396321,-0.2350889,0.2606054,0.33804116,3
388342577,388325680,396321,0.46491218,-0.08839104,1.4401319,3
388918671,388855406,396321,0.9146473,0.039015487,0.698596,3
389409785,389385522,396321,0.3659672,-0.12861632,0.99616194,3
389857898,389840558,396321,1.1985084,-0.58648396,1.6291695,3
390327410,390295354,396321,0.9943571,-0.25121665,0.966438,3
390925197,390900966,396321,0.85269797,-0.6672793,1.059432,3
391373530,391355511,396321,0.69614464,-0.3026116,0.8342322,3
391821662,391809728,396321,0.64897466,-0.5510903,0.9824701,3
392398068,392339906,396321,0.5704106,-0.4458432,0.94955,3
392888716,392870166,396321,0.86976385,-0.765064,1.0687304,3
393337182,393324810,396321,0.9056357,-0.60283744,1.0635886,3
393913317,393854809,396321,0.86100495,-0.5002081,1.1164225,3
394404319,394385079,396321,1.0140089,-0.41667116,1.2105086,3
394852392,394839350,396321,0.96625674,-0.39871627,0.88224095,3
