"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
1,3,1377696518.14156,36.662371,126.341879,47.5
1,3,1377696518.34162,36.662397,126.341841,47.6
1,3,1377696518.5416,36.662423,126.341804,47.6
1,3,1377696518.74168,36.662449,126.341767,47.6
1,3,1377696518.94174,36.662475,126.341731,47.6
1,3,1377696519.14174,36.662502,126.341695,47.6
1,3,1377696519.34177,36.662528,126.341659,47.7
1,4,1377696519.54184,36.662556,126.341624,47.7
1,4,1377696519.74189,36.662583,126.34159,47.7
1,4,1377696519.94188,36.662611,126.341555,47.8
1,4,1377696520.142,36.662639,126.341521,47.8
1,4,1377696520.34197,36.662667,126.341488,47.8
1,4,1377696520.54202,36.662696,126.341454,47.8
1,4,1377696520.74211,36.662724,126.341421,47.9
1,4,1377696520.94211,36.662752,126.341388,48
1,4,1377696521.14218,36.66278,126.341356,48
1,4,1377696521.34221,36.662808,126.341323,48
1,4,1377696521.54219,36.662836,126.341291,48
1,4,1377696521.74225,36.662864,126.341259,48
1,4,1377696521.94234,36.662892,126.341227,48
1,4,1377696522.14235,36.66292,126.341194,48
1,4,1377696522.34235,36.662949,126.341162,48
1,4,1377696522.54247,36.662977,126.34113,48
1,4,1377696522.74247,36.663006,126.341097,47.9
1,4,1377696522.94251,36.663034,126.341065,48
1,4,1377696523.14259,36.663062,126.341033,47.9
1,4,1377696523.34261,36.66309,126.341,47.9
0,4,1377696523.54257,36.663119,126.340968,47.9
0,4,1377696523.74269,36.663147,126.340935,47.9
0,4,1377696523.9427,36.663176,126.340903,48
0,4,1377696524.14273,36.663205,126.340869,48
0,4,1377696524.34277,36.663233,126.340837,48
0,4,1377696524.54282,36.663262,126.340804,48.1
0,4,1377696524.7428,36.66329,126.340771,48.1
0,4,1377696524.94289,36.663319,126.340738,48.1
0,4,1377696525.14289,36.663347,126.340706,48.1
0,4,1377696525.343,36.663376,126.340673,48.1
0,4,1377696525.54301,36.663405,126.340641,48
0,4,1377696525.74302,36.663434,126.340608,48
0,4,1377696525.94325,36.663463,126.340575,47.9
0,4,1377696526.14318,36.663492,126.340542,47.8
0,4,1377696526.34319,36.663521,126.340509,47.7
0,4,1377696526.54334,36.66355,126.340476,47.7
0,4,1377696526.74336,36.663579,126.340443,47.8
0,4,1377696526.94337,36.663608,126.34041,47.8
0,4,1377696527.14346,36.663637,126.340377,47.8
0,4,1377696527.34354,36.663667,126.340345,47.7
0,4,1377696527.5434,36.663698,126.340314,47.6
0,4,1377696527.74341,36.66373,126.340286,47.5
0,4,1377696527.94353,36.663763,126.340263,47.6
0,4,1377696528.1435,36.663797,126.340248,47.7
0,4,1377696528.34352,36.663833,126.34024,47.9
0,4,1377696528.54358,36.663868,126.340239,48.4
0,4,1377696528.74367,36.663902,126.340244,48.9
0,4,1377696528.94363,36.663936,126.340255,49.4
0,4,1377696529.1437,36.663968,126.340268,49.8
0,4,1377696529.34377,36.664,126.340284,50
0,4,1377696529.54379,36.66403,126.340304,50.2
0,4,1377696529.74381,36.66406,126.340326,50.2
0,4,1377696529.94381,36.664088,126.34035,50.1
0,4,1377696530.14393,36.664115,126.340376,50.1
0,4,1377696530.34394,36.664142,126.340404,49.9
0,4,1377696530.54391,36.664168,126.340432,49.6
0,4,1377696530.74397,36.664193,126.340462,49.3
0,4,1377696530.94401,36.664217,126.340493,49
0,4,1377696531.14401,36.664241,126.340524,48.6
0,4,1377696531.34404,36.664262,126.340558,48.1
0,4,1377696531.54426,36.664281,126.340594,47.7
0,4,1377696531.74412,36.664294,126.340633,47.4
0,4,1377696531.94413,36.664302,126.340675,47.3
0,4,1377696532.14429,36.664303,126.340718,47.4
0,4,1377696532.34421,36.664297,126.340761,47.7
0,4,1377696532.54424,36.664285,126.340802,48.1
0,4,1377696532.7443,36.664268,126.340842,48.5
0,4,1377696532.94431,36.664246,126.340878,48.8
0,4,1377696533.14435,36.664221,126.340912,49
0,4,1377696533.34442,36.664193,126.340941,49.2
0,4,1377696533.54441,36.664163,126.340966,49.3
0,4,1377696533.74445,36.66413,126.340987,49.4
0,4,1377696533.94452,36.664096,126.341004,49.3
0,4,1377696534.14455,36.664061,126.341018,49
0,4,1377696534.34472,36.664027,126.34103,48.5
0,4,1377696534.54462,36.663991,126.34104,48
0,4,1377696534.74462,36.663956,126.341049,47.2
0,4,1377696534.9448,36.663921,126.341057,46.3
0,4,1377696535.14473,36.663886,126.341064,45.3
0,4,1377696535.34473,36.663851,126.341071,44.2
0,4,1377696535.54481,36.663817,126.341078,43
0,4,1377696535.74484,36.663783,126.341085,41.7
0,4,1377696535.94483,36.663748,126.341093,40.4
0,4,1377696536.1449,36.663713,126.341102,39.2
0,4,1377696536.34495,36.663679,126.341112,38
0,4,1377696536.54494,36.663645,126.341123,36.8
0,4,1377696536.74503,36.66361,126.341136,35.6
0,4,1377696536.94504,36.663575,126.34115,34.6
0,4,1377696537.14505,36.66354,126.341165,33.6
0,4,1377696537.34508,36.663504,126.34118,32.8
0,4,1377696537.54518,36.663469,126.341196,32
0,4,1377696537.74534,36.663434,126.341212,31.2
0,4,1377696537.94519,36.663398,126.341228,30.5
0,4,1377696538.14528,36.663363,126.341244,29.8
0,4,1377696538.34525,36.663328,126.34126,29.1
0,4,1377696538.54528,36.663294,126.341277,28.5
0,4,1377696538.74536,36.663259,126.341293,27.9
0,4,1377696538.94535,36.663225,126.341309,27.2
0,4,1377696539.14538,36.663191,126.341326,26.5
0,4,1377696539.34551,36.663157,126.341342,25.7
0,4,1377696539.54545,36.663124,126.341359,24.9
0,4,1377696539.74548,36.66309,126.341375,24.1
0,4,1377696539.94556,36.663057,126.341391,23.2
0,4,1377696540.14559,36.663025,126.341407,22.4
0,4,1377696540.34559,36.662992,126.341424,21.6
0,4,1377696540.54571,36.66296,126.341439,20.8
0,4,1377696540.74567,36.662927,126.341454,19.9
0,4,1377696540.94574,36.662895,126.341469,19
0,4,1377696541.14581,36.662863,126.341483,18
0,4,1377696541.34576,36.66283,126.341496,17.2
0,4,1377696541.54583,36.662797,126.34151,16.4
0,4,1377696541.74587,36.662764,126.341524,15.6
0,4,1377696541.94586,36.662731,126.341539,15
0,4,1377696542.14593,36.662697,126.341554,14.6
0,4,1377696542.34597,36.662662,126.34157,14.5
0,4,1377696542.54602,36.662627,126.341586,14.3
0,4,1377696542.746,36.662592,126.341603,14.2
0,4,1377696542.94607,36.662557,126.34162,14.2
0,4,1377696543.14607,36.662522,126.341636,14
0,4,1377696543.34628,36.662488,126.341653,13.7
